1??,?j??,???c,????,????,?k,??c,??~,???????,?????q,???c,???z,????,,
1??4??,??,0.1,0.2,0,0,0,0.1,0,0,0,0,0,,
1??5??,?y,0.1,0.2,0,0,0,0.1,0,0,0,0,0,,
1??6??,??,0.1,0.2,0,0,0,0.1,0,0,0,0,0,,
1??7??,??,0,0,0,0,0,0,0,0,0,0,0,,
1??8??,??,1.2,0,0,0,0.3,0,0,0,0.5,0.3,0,,
1??9??,??,0,0,0,0,0.3,0,0,0,0,0,0,,
1??10??,??,0,0,0,0,0.3,0,0,0,0,0,0,,
1??11??,??,0.2,0,0.1,0.1,0,0,0,0,0,0,0,,
1??12??,?y,0.2,0,0.1,0.1,0,0,0,0,0,0,0,,
1??13??,??,0.2,0,0.1,0.1,0,0,0,0,0,0,0,,
1??14??,??,0.2,0,0.1,0.1,0,0,0,0,0,0,0,,
1??15??,??,0,0.3,0.3,0,0,0,0,0,0,0.3,0,,
1??16??,??,0,0,0.3,0,0,0,0,0,0,0,0,,
1??17??,??,0,0,0,0.3,0,0,0,0,0,0,0,,
1??18??,??,0.2,0,0,0,0,0,0,0,0,0,0,,
1??19??,?y,0.2,0,0,0,0,0,0,0,0,0,0,,
1??20??,??,0.2,0,0,0,0,0,0,0,0,0,0,,
1??21??,??,0.3,0,0,0.3,0.3,0,0,0,0.3,0,0,,
1??22??,??,0.3,0.3,0.6,0.3,0,0.3,0,0.6,0,0.9,0,,
1??23??,??,0.3,0,0,0,0,0.6,0,0,0.6,0,0,,
1??24??,??,0,0,0,0,0,0,0,0,0.3,0.3,0,,
1??25??,??,0.4,0.1,0.1,0,0.1,0,0,0,0,0,0,,
1??26??,?y,0.4,0.1,0.1,0,0.1,0,0,0,0,0,0,,
1??27??,??,0.4,0.1,0.1,0,0.1,0,0,0,0,0,0,,
1??28??,??,0.3,0,0.3,0.3,0.3,0,0,0,0.3,0,0,,
1??29??,??,0,0,0,0,0,2.5,0.3,0,0,0,0,,
1??30??,??,0.3,0,0.6,0,0.6,0.6,0,0.6,0,0,0,,
1??31??,??,0,0,0,0,0,0.3,0,0,0,0,0,,
?P?????v,,5.6,1.5,2.8,1.6,2.4,4.6,0.3,1.2,2,1.8,0,0,
2??,?j??,???c,????,????,?k,??c,??~,???????,?????q,???c,???z,????,,
2??1??,??,0.1,0,0.1,0,0.1,0.1,0.2,0.1,0.1,0,0,,
2??2??,?y,0.1,0,0.1,0,0.1,0.1,0.2,0.1,0.1,0,0,,
2??3??,??,0.1,0,0.1,0,0.1,0.1,0.2,0.1,0.1,0,0,,
2??4??,??,0.3,0,0,0,0,0.6,0,0.3,0.3,0,0.3,,
2??5??,??,0,0,0.3,0,0,0.3,0.3,0.3,0,0,0,,
2??6??,??,1.9,3.7,0,0.9,1.5,0.6,0,1.2,1.5,0,0.6,,
2??7??,??,1.1,4.3,25.8,10.5,20.2,9.9,10.5,21,1.3,12.7,19.1,,
2??8??,??,16,15.6,17.6,19.8,5.2,20.8,7.1,15.6,29.6,5.8,7.8,,
2??9??,?y,16,15.6,17.6,19.8,5.2,20.8,7.1,15.6,29.6,5.8,7.8,,
2??10??,??,16,15.6,17.6,19.8,5.2,20.8,7.1,15.6,29.6,5.8,7.8,,
2??11??,??,16,15.6,17.6,19.8,5.2,20.8,7.1,15.6,29.6,5.8,7.8,,
2??12??,??,4.3,3.7,4,2.5,0.3,5.6,8,4.9,3.9,1.9,1.9,,
2??13??,??,0.3,0.9,1.2,1.2,1.5,2.5,2.2,0.3,0.3,1.9,0,,
2??14??,??,2.2,0.6,1.9,2,1.9,5.9,4.6,4.6,0.8,0.3,0.9,,
2??15??,??,4.6,2.4,7.5,4.4,3.4,10.5,3.1,9.6,10.4,4.7,5.9,,
2??16??,?y,4.6,2.4,7.5,4.4,3.4,10.5,3.1,9.6,10.4,4.7,5.9,,
2??17??,??,4.6,2.4,7.5,4.4,3.4,10.5,3.1,9.6,10.4,4.7,5.9,,
2??18??,??,0.9,1.2,8.5,3.7,35.8,57.7,57.1,37.7,63,24.1,2.5,,
2??19??,??,6.5,0.6,13.6,5.6,17,45.7,11.1,29.9,36.6,20.4,6.8,,
2??20??,??,10.2,6.5,17.3,12.3,15.3,30.6,26.2,47.8,30.3,6.4,17.3,,
2??21??,??,188.4,133.3,147.5,128.5,206.3,108,70.8,106.2,109.3,69.1,100.9,,
2??22??,??,192.1,126.8,139.4,150.9,219.7,330.6,204.3,175.6,235.8,53.4,82.4,,
2??23??,?y,192.1,126.8,139.4,150.9,219.7,330.6,204.3,175.6,235.8,53.4,82.4,,
2??24??,??,192.1,126.8,139.4,150.9,219.7,330.6,204.3,175.6,235.8,53.4,82.4,,
2??25??,??,104.9,75.5,106.9,107.3,87,109.9,146,121.3,81.8,46.6,91,,
2??26??,??,23.5,13.9,25,27,93.5,50.9,89.2,26.9,39.2,26.9,27.5,,
2??27??,??,143.5,89.8,155.1,106.8,321.9,196,110.5,101.9,159.9,113.3,60.8,,
2??28??,??,5.2,14.4,6.9,5.9,13.7,4.6,2.2,3.4,3.7,3.1,4.9,,
2?????v,,1147.6,798.4,1025.4,959.3,1506.3,1735.6,1189.9,1126,1389.2,524.2,630.6,0,
3??,?j??,???c,????,????,?k,??c,??~,???????,?????q,???c,???z,????,,
3??1??,??,525.7,229.6,373.1,402.1,840,1152.5,1318.6,696.7,412.7,343.5,184.6,,
3??2??,?y,525.7,229.6,373.1,402.1,840,1152.5,1318.6,696.7,412.7,343.5,184.6,,
3??3??,??,525.7,229.6,373.1,402.1,840,1152.5,1318.6,696.7,412.7,343.5,184.6,,
3??4??,??,151.8,93.5,204.6,195.7,140.7,638.9,890.1,581.2,277.8,157.7,216,,
3??5??,??,99.4,48.1,75,67.6,108.2,168.8,149.7,220.7,130.6,50.6,60.5,,
3??6??,??,206.7,163.9,225,297.4,267.6,984.2,815.4,573.1,148.5,242.6,254,,
3??7??,??,333.3,12.6,251.8,275,300.1,975.9,816.7,548.1,567.6,397.2,268.2,,
3??8??,??,158.2,92.5,123.9,128.6,144.7,205,209.9,237,227.4,121.3,121.9,,
3??9??,?y,158.2,92.5,123.9,128.6,144.7,205,209.9,237,227.4,121.3,121.9,,
3??10??,??,158.2,92.5,123.9,128.6,144.7,205,209.9,237,227.4,121.3,121.9,,
