1月,曜日,千代田,葛飾,杉並,北,大田,青梅,あきる野,八王子,町田,調布,小平,
1月6日,火,0,1.2,0,0,0.6,0,0,0,0,0,0,
1月7日,水,0,0,0.3,0,0,0,0,0,0,0.6,0,
1月8日,木,0.3,0,0,0.3,0.6,0,0,0,0,0,0,
1月9日,金,0.3,0,0,0.3,0,0,0,0,0,0.9,0,
1月10日,土,0,0,0,0,0,0,0,0,0,0,0,
1月11日,日,0,0,0,0,0,0,0,0,0,0,0,
1月12日,月,0,0,0,0,0,0,0,0,0,0,0,
1月13日,火,0,0,0.3,0,0,0,0,0,0,0,0,
1月14日,水,0,0,0,0.3,0,0,0,0,0,0,0,
1月15日,木,0.3,0,0,0,0,0,0,0,0.3,0,0,
1月16日,金,0,0,0,0,0,0,0,0,0,0,0,
1月17日,土,0,0,0,0,0,0,0,0,0,0,0,
1月18日,日,0,0,0,0,0,0,0,0,0,0,0,
1月19日,月,0,0,0,0,0,0,0,0,0,0,0,
1月20日,火,0,0,0,0,0,0,0,0,0.3,0,0,
1月21日,水,0,0,0.3,0,0,0,0,0,0,0,0,
1月22日,木,0,0,0,0,0.3,0,0,0,0,0,0,
1月23日,金,0,0.3,0,0,0.3,0,0,0,0,0,0,
1月24日,土,0,0,0,0,0,0,0,0,0,0,0,
1月25日,日,0,0,0,0,0,0,0,0,0,0,0,
1月26日,月,0,0.6,0,0,0,0,0,0,0,0,0,
1月27日,火,0,0,0.3,0,0,0,0,0,0,0.3,0,
1月28日,水,0,0,0,0,0,0,0,0,0,0,0,
1月29日,木,0,0,0,0,0,0,0,0,0,0,0,
1月30日,金,0,0,0,0,0,0,0.3,0,0,0,0,
1月31日,土,0,0,0,0,0,0,0,0,0,0,0,
1月合計,,0.9,2.1,1.2,0.9,1.8,0,0.3,0,0.6,1.8,0,
2月,曜日,千代田,葛飾,杉並,北,大田,青梅,あきる野,八王子,町田,調布,小平,
2月1日,日,0,0,0,0,0,0,0,0,0,0,0,
2月2日,月,0,0,0,0,0,0,0,0,0,0.3,0,
2月3日,火,0.3,0,0,0,0,0,0,0,0,0,0,
2月4日,水,0,0.3,0,0.3,0.3,0,0,0,0,0,0,
2月5日,木,0.3,0.3,0,0,0,0,0,0,0,0,0,
2月6日,金,0,0,0,0,0,0,0,0,0,0,0,
2月7日,土,0,0,0,0,0,0,0,0,0,0,0,
2月8日,日,0,0,0,0,0,0,0,0,0,0,0,
2月9日,月,0,0,0,0,0.3,0,0,0,0,0,0,
2月10日,火,0,0,0,0,0.3,0,0,0,0,0,0,
2月11日,水,0,0,0,0,0,0,0,0,0,0,0,
2月12日,木,0,0,0,0,0,0,0,0,0,0,0,
2月13日,金,0.6,0.6,0.3,0.6,2.5,1.2,1.2,0.6,0.6,0,0,
2月14日,土,0,0,0,0,0,0,0,0,0,0,0,
2月15日,日,0,0,0,0,0,0,0,0,0,0,0,
2月16日,月,0,0,0.3,0,0.9,0,0.3,0,0.3,0,0,
2月17日,火,0.3,0,0,0,1.2,0.3,0,0,0,0.3,0,
2月18日,水,0.3,0.6,0,0,0.6,0,0,0,0.2,0.6,0,
2月19日,木,0.9,0.6,0,1.2,0.6,0.6,0,0.3,0.3,0,0.3,
2月20日,金,1.5,1.4,5.9,1.6,2.3,9.1,11.1,1.5,1.2,0.7,1,
2月21日,土,1.5,1.4,5.9,0,2.3,9.1,11.1,1.5,1.2,0.7,1,
2月22日,日,1.5,1.4,5.9,0,2.3,9.1,11.1,1.5,1.2,0.7,1,
2月23日,月,5.6,0.3,6.8,2.5,6.8,12.7,6.5,1.5,4,1.9,1.5,
2月24日,火,10.5,6.2,8,4.9,12,5.6,10.8,1.2,4,2.7,5.6,
2月25日,水,15.4,8.6,12.3,7.1,10.8,11.4,15.4,8.3,4.6,2.2,5.2,
2月26日,木,29,2.8,24,16,31.6,15.7,16.7,9.3,17,7.4,10.8,
2月27日,金,10.3,8.8,8.5,7.2,13.6,12.8,11.9,3.6,7.7,6.7,3.5,
2月28日,土,10.3,8.8,8.5,7.2,13.6,12.8,11.9,3.6,7.7,6.7,3.5,
2月29日,日,10.3,8.8,8.5,7.2,13.6,12.8,11.9,3.6,7.7,6.7,3.5,
2月合計,,98.6,50.9,94.9,55.8,115.6,113.2,119.9,36.5,57.7,37.6,36.9,0
3月,曜日,千代田,葛飾,杉並,北,大田,青梅,あきる野,八王子,町田,調布,小平,
3月1日,月,2.6,2.5,4.3,3.4,5.9,2.2,0.6,0.3,3.4,3.7,5.6,
3月2日,火,4.6,3.7,4,4.3,14,21.3,6.5,11.1,2.8,4.3,5.2,
3月3日,水,6.5,3.1,4.9,2.5,3.1,3.1,4.3,0.9,0.9,1.5,3.1,
3月4日,木,3.4,4,2.8,3.7,6.5,15,4,3.1,14.2,3.4,4.3,
3月5日,金,6.2,2.4,6.5,3.8,7.6,4,11,4.5,5.4,3.2,1.7,
3月6日,土,6.2,2.4,6.5,3.8,7.6,4,11,4.5,5.4,3.2,1.7,
3月7日,日,6.2,2.4,6.5,3.8,7.6,4,11,4.5,5.4,3.2,1.7,
3月8日,月,1.2,1.5,1.9,1.9,2.2,0.3,3.1,0.9,1.2,2.2,0.3,
3月9日,火,5.9,4.3,4.3,3.4,3.1,0.9,2.8,1.5,3.7,1.5,1.5,
3月10日,水,5.2,8.6,18.2,6.5,24.4,13.3,16.7,16,12,9.3,9.9,
3月11日,木,22.8,14.2,19.1,12,36.2,19.8,27.2,13.6,8.7,34.2,9.9,
3月12日,金,7.6,5.7,10.7,5.2,16.9,12.2,9.9,5,8,3.6,4.2,
3月13日,土,7.6,5.7,10.7,5.2,16.9,12.2,9.9,5,8,3.6,4.2,
3月14日,日,7.6,5.7,10.7,5.2,16.9,12.2,9.9,5,8,3.6,4.2,
3月15日,月,9.7,8.6,11.3,15.4,16.4,6.5,5.5,8,4.3,9.6,4.6,
3月16日,火,8.6,13.3,15.7,12,11.4,8.4,16,8.9,4.3,13.3,11.7,
3月17日,水,16.7,13.9,24.2,7.9,29.9,24.4,40.8,10.2,20.4,52.2,20.7,
3月18日,木,5.2,4.9,7.7,12.5,8,34,17.6,5.5,6.8,7.8,15.1,
3月19日,金,2.1,2.4,2.9,2.6,0.3,2.9,2.9,0.8,1.6,2.2,2.3,
3月20日,土,2.1,2.4,2.9,2.6,0.3,2.9,2.9,0.8,1.6,2.2,2.3,
3月21日,日,2.1,2.4,2.9,2.6,0.3,2.9,2.9,0.8,1.6,2.2,2.3,
3月22日,月,1.2,0.3,0.3,0.3,1.5,2.2,0.9,0,0.3,0.6,1.5,
3月23日,火,1.9,0.6,1.2,0.3,0.3,1.5,0,0.6,0.3,0.3,1.2,
3月24日,水,0.3,0.3,0.3,0.3,0,0.9,2.1,0.6,0,0.3,0,
3月25日,木,0.3,0.9,0.3,1.2,0,2.1,0,0,1.2,0,0.6,
3月26日,金,12.6,8.5,16.7,13.2,3.7,13.9,4.8,12.5,3.2,1.5,10.7,
3月27日,土,12.6,8.5,16.7,13.2,3.7,13.9,4.8,12.5,3.2,1.5,10.7,
3月28日,日,12.6,8.5,16.7,13.2,3.7,13.9,4.8,12.5,3.2,1.5,10.7,
3月29日,月,17.2,8.3,31.4,12,22.5,18.8,15.4,9.3,4.3,20.4,21,
3月30日,火,1.9,0.3,10.2,4,0,13.9,11.8,0.3,4.6,0.6,4.9,
3月31日,水,44.3,10,63.3,0,34.8,81.9,104,12.9,7.5,0,16.7,
3月合計,,245,160.3,335.8,178,305.7,369.5,365.1,172.1,155.5,196.7,194.5,
4月　　,曜日,千代田,葛飾,杉並,北,大田,青梅,あきる野,八王子,町田,調布,小平,
4月1日,木,4.3,0.9,4,3.1,5.8,20.3,36.5,4.4,5.2,0.6,13.9,
4月2日,金,8,3.5,5.6,5.4,4.3,18.5,36.6,0.4,8.8,0.6,1.9,
4月3日,土,8,3.5,5.6,5.4,4.3,18.5,36.6,0.4,8.8,0.6,1.9,
4月4日,日,8,3.5,5.6,5.4,4.3,18.5,36.6,0.4,8.8,0.6,1.9,
4月5日,月,7.1,3.1,4.9,3.4,3.7,13.3,31.7,4.6,4.6,1.1,5.2,
4月6日,火,3.1,4.3,5.2,2.8,9.2,7.7,31.7,1.5,4.3,1.1,5.8,
4月7日,水,8.7,2.2,6.5,9.3,0.3,15.7,31.7,0.9,13.3,1.1,3.1,
4月8日,木,44.1,20.5,35.5,37,59.6,17,31.2,13.9,4.9,0.8,1.9,
4月9日,金,2,5.5,5.1,5.8,9.3,4.8,31.2,3.9,3.6,0.8,2.7,
4月10日,土,2,5.5,5.1,5.8,9.3,4.8,31.2,3.9,3.6,0.8,2.7,
4月11日,日,2,5.5,5.1,5.8,9.3,4.8,31.2,3.9,3.6,0.8,2.7,
4月12日,月,6.5,5.6,7.2,4,10.5,5.2,6.4,2.5,4,2.8,3.1,
4月13日,火,3.4,1.8,2,1.8,4.6,2.8,6.4,0.9,0.6,2.8,0.3,
4月14日,水,1.5,0.6,0.6,0.9,2.4,0.9,6.4,0,0.9,2.8,0,
4月15日,木,1.2,0,0.3,1.5,1.2,0.9,17.8,0,0.9,3.3,1.2,
4月16日,金,3.8,1.7,2.4,3.3,3.3,0.7,17.8,0.7,4.3,3.3,1.4,
4月17日,土,3.8,1.7,2.4,3.3,3.3,0.7,17.8,0.7,4.3,3.3,1.4,
4月18日,日,3.8,1.7,2.4,3.3,3.3,0.7,17.8,0.7,4.3,3.3,1.4,
4月19日,月,1.5,0,1.8,0.9,0,0.3,8,0.3,0.3,1.6,0.3,
4月20日,火,4.6,0.3,1.8,4,3.8,1.2,8,1.2,2.5,1.6,2.5,
4月21日,水,1.5,1.2,3.7,0.6,2.5,0.9,4,0.6,0.9,1.6,0.9,
4月22日,木,1.2,0.9,0.9,1.2,3.1,0,4,0.3,0,0.9,1.9,
4月23日,金,0.6,0.2,0.4,0.3,0.6,0.2,4,0.1,0.5,0.9,0.1,
4月24日,土,0.6,0.2,0.4,0.3,0.6,0.2,4,0.1,0.5,0.9,0.1,
4月25日,日,0.6,0.2,0.4,0.3,0.6,0.2,4,0.1,0.5,0.9,0.1,
4月26日,月,0.3,0,0.6,0.6,0,0,8,0.6,0,0,0.3,
4月27日,火,1.2,0,1.5,0.6,0.3,0.3,8,0.6,0.6,0,0,
4月28日,水,0.5,0.2,0.2,0.2,0.5,0,8,0.3,0,0,0,
4月29日,木,0.5,0.2,0.2,0.2,0.5,0,8,0.3,0,0,0,
4月30日,金,0.2,0,0.2,0.2,0,0,3,0.1,0,0,0.1,
4月合計,,134.6,74.5,117.6,116.7,160.5,159.1,527.6,48.3,94.6,38.9,58.8,
5月　　,曜日,千代田,葛飾,杉並,北,大田,青梅,あきる野,八王子,町田,調布,小平,
5月1日,土,0.2,0,0.2,0.2,0,0,3,0.1,0,0,0.1,
5月2日,日,0.2,0,0.2,0.2,0,0,3,0.1,0,0,0.1,
5月3日,月,0.2,0,0.2,0.2,0,0,3,0.1,0,0,0.1,
5月4日,火,0.2,0,0.2,0.2,0,0,3,0.1,0,0,0.1,
5月5日,水,0.2,0,0.2,0.2,0,0,3,0.1,0,0,0.1,
5月6日,木,0,0,0,0,0,0,0,0,0,0,0.3,
5月7日,金,0.2,0,0.4,0,0.1,0,0,0,0.2,0,0.1,
5月8日,土,0.2,0,0.5,0,0.1,0,0,0,0.2,0,0.1,
5月9日,日,0.2,0,0.4,0,0.1,0,0,0,0.2,0,0.1,
5月10日,月,0.3,0,0,0,0,0,0,0,0,0,0,
5月11日,火,0,0,0,0,0.3,0,0,0,0.3,0,0,
5月12日,水,0.3,0,0,0,0,0,0,0,0,0,0,
5月13日,木,0,0,0,0,0,0,0,0.6,0,0,0,
5月14日,金,0,0,0,0,0,0,0,0,0,0,0,
5月合計,,2.2,0,2.3,1,0.6,0,15,1.1,0.9,0,1.1,
