1月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,,
1月4日,火,0,0,0.6,0,0.3,2.2,1.2,2.5,0.3,0.9,0,0.3,,
1月5日,水,0,0.6,0,0,0.3,0.6,0,0,0,0,0,0.6,,
1月6日,木,0.3,0.3,0,0,0,0,0.6,0,0,0,0,0.3,,
1月7日,金,0,0.1,0,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0,0,,
1月8日,土,0,0.1,0,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0,0,,
1月9日,日,0,0.1,0,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0,0,,
1月10日,月,0,0.1,0,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0,0,,
1月11日,火,0,0,0,0,0.9,0,0,0,0,0,0,0,,
1月12日,水,0,0,0,0,0,0.9,0,0,0,0.9,0,0,,
1月13日,木,0,0,0,0,0.6,0,1.2,0,0.3,0,0,0,,
1月14日,金,0,0.2,0.1,0,0,0.1,0,0,0,0,0,0,,
1月15日,土,0,0.2,0.1,0,0,0.1,0,0,0,0,0,0,,
1月16日,日,0,0.2,0.1,0,0,0.1,0,0,0,0,0,0,,
1月17日,月,0.3,0,0.3,1.1,0,0.6,0.3,0,0.6,0.3,0,0,,
1月18日,火,0.3,0.6,0,0.3,0,0,0,0,0,0,0,0,,
1月19日,水,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,,
1月20日,木,0.9,0,0.3,0,0.3,0.6,0.6,0,0.3,0,0,0,,
1月21日,金,0.1,0,0.4,0.1,0.2,0,0,0.2,0.2,0.4,0,0,,
1月22日,土,0.1,0,0.4,0.1,0.2,0,0,0.2,0.2,0.4,0,0,,
1月23日,日,0.1,0,0.4,0.1,0.2,0,0,0.2,0.2,0.4,0,0,,
1月24日,月,0.3,0,0.3,0,0,0,0.3,0.3,0.3,0,0.6,0,,
1月25日,火,0.3,0,0,0.3,0,0,0.3,0.3,0,0,0,0,,
1月26日,水,0,0,0,0.3,0,0,0,0,0,0,0,0,,
1月27日,木,0,0,0,0,0.3,0.3,0.6,0,0,0,0,0,,
1月28日,金,0,0.1,0.9,0,0.5,0.2,0.2,0,0,0,0,0,,
1月29日,土,0,0.1,0.9,0,0.5,0.2,0.2,0,0,0,0,0,,
1月30日,日,0,0.1,0.9,0,0.5,0.2,0.2,0,0,0,0,0,,
1月31日,月,1.2,0.6,0.3,0.6,0.9,0.6,0,1.5,0,0.3,0.3,0,,
1月合計,,4.2,3.7,6.3,4.1,6.5,7.5,6.5,6.4,3.6,4.4,0.9,1.2,,
2月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,,
2月1日,火,0,0,0.3,0,0,0,0.3,0.9,0,0,0.3,0,,
2月2日,水,0,0,0,0,0,0.3,0,0,0,0.6,0,0,,
2月3日,木,0.9,0,0,0.3,0,0.3,0,0,0,0.3,0,0,,
2月4日,金,0,0,0.2,0.1,0,3.1,3.2,0.2,0.1,0,0.1,0,,
2月5日,土,0,0,0.2,0.1,0,3.1,3.2,0.2,0.1,0,0.1,0,,
