1月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,
1月4日,金,0,0.1,0,0,0,0.2,0.1,0,0,0,0,0,
1月5日,土,0,0.1,0,0,0,0.2,0.1,0,0,0,0,0,
1月6日,日,0,0.1,0,0,0,0.2,0.1,0,0,0,0,0,
1月7日,月,0,0,0,0,0.3,0,0,0,0.3,0,0,0,
1月8日,火,0,0,0.3,0.3,0,0,1.2,0,0,0,0,0,
1月9日,水,0.3,0.3,0,0,0,0,0,0,0.3,0,0,0,
1月10日,木,0,0,0,0,0.3,0,0,0,0,0,0,0,
1月11日,金,0.2,0,0.2,0.1,0,0,0.3,0,0.1,0,0.2,0.2,
1月12日,土,0.2,0,0.2,0.1,0,0,0.3,0,0.1,0,0.2,0.2,
1月13日,日,0.2,0,0.2,0.1,0,0,0.3,0,0.1,0,0.2,0.2,
1月14日,月,0.2,0,0.2,0.1,0,0,0.3,0,0.1,0,0.2,0.2,
1月15日,火,0,0,0,0,0,0,0,0,0,0,0,0,
1月16日,水,0,0,0.3,0,0,0,0,0,0,0,0,0,
1月17日,木,0,0,0,0,0,0,0,0.3,0,0,0,0,
1月18日,金,0,0,0,0,0,0.1,0,0,0,0,0,0,
1月19日,土,0,0,0,0,0,0.1,0,0,0,0,0,0,
1月20日,日,0,0,0,0,0,0.1,0,0,0,0,0,0,
1月21日,月,0,0,0.3,0,0,0,0,0.3,0,0,0,0,
1月22日,火,0,0,0,0,0,0,0,0,0,0,0,0,
1月23日,水,0,0,0,0,0,0,0.3,0,0,0,0,0,
1月24日,木,0,0,0,0,0,0,0.3,0.3,0,0,0,0,
1月25日,金,0,0,0,0.1,0,0.1,0.4,0.1,-,0,0,0,
1月26日,土,0,0,0,0.1,0,0.1,0.4,0.1,-,0,0,0,
1月27日,日,0,0,0,0.1,0,0.1,0.4,0.1,-,0,0,0,
1月28日,月,0,0,0,0,0,0,0,0,0.3,0,0,0,
1月29日,火,0,0,0,0,0,0,0,0,0,0,0,0,
1月30日,水,0,0,0,0,0,0,0,0,0.3,0,0,0,
1月31日,木,0,0,0,0.9,0,0,0.3,0,0,0.6,0,0,
1月合計,,1.1,0.6,1.7,1.9,0.6,1.2,4.8,1.2,1.6,0.6,0.8,0.8,0
2月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,
2月1日,金,0,0,0,0,0,0,0,0,0,0,0,0,
2月2日,土,0,0,0,0,0,0,0,0,0,0,0,0,
2月3日,日,0,0,0,0,0,0,0,0,0,0,0,0,
2月4日,月,0,0,0,0,0,0,0,0,0,0,0,0,
2月5日,火,0,0,0,0,0,0,0,0,0.6,0,0,0.6,
2月6日,水,0,0,0,0.3,0.6,0,0,0,0,0,0,0,
2月7日,木,0,0,0,0.3,0.3,0,0,0,0,0,0,0.6,
2月8日,金,0.2,0,0,0,0,0.1,0,0.1,0,0.4,0.1,0.1,
2月9日,土,0.2,0,0,0,0,0.1,0,0.1,0,0.4,0.1,0.1,
2月10日,日,0.2,0,0,0,0,0.1,0,0.1,0,0.4,0.1,0.1,
2月11日,月,0.2,0,0,0,0,0.1,0,0.1,0,0.4,0.1,0.1,
2月12日,火,0,0,1.2,0.3,0,0.6,0,0,0.3,0.3,0.6,0,
2月13日,水,0,0,0.9,0.3,0.3,1.2,0.6,0,0.3,0,0,0.3,
2月14日,木,0,0,0.3,0,0,0,0.9,0,0,0,0,0,
2月15日,金,0,0,0,0,0,0.5,0.1,0.3,0.1,0.2,0,0,
2月16日,土,0,0,0,0,0,0.5,0.1,0.3,0.1,0.2,0,0,
2月17日,日,0,0,0,0,0,0.5,0.1,0.3,0.1,0.2,0,0,
2月18日,月,0,0,0,0,0,0.3,0,0,0.3,0,0,0,
2月19日,火,0.3,0.3,0.3,0.3,0,0.3,0,0,0,0.3,0,0,
2月20日,水,2,0.3,2.5,0,1.8,2.8,2.9,1.9,1.5,0.3,2.2,1.1,
2月21日,木,0.3,0,0.6,0.6,0.6,4.9,2.5,4.3,0.3,0.9,1.5,0,
2月22日,金,9.2,7.9,16.4,9.9,14.2,11,17.3,16.5,12.8,1.2,10.5,6.8,
2月23日,土,9.2,7.9,16.4,9.9,14.2,11,17.3,16.5,12.8,1.2,10.5,6.8,
2月24日,日,9.2,7.9,16.4,9.9,14.2,11,17.3,16.5,12.8,1.2,10.5,6.8,
2月25日,月,1.2,1.5,3.2,2.5,4.3,4.6,7.6,0.6,1.9,2.2,0.9,0.6,
2月26日,火,4.9,2.8,38.3,19.6,7.4,41.7,31.9,26.2,33.4,10.8,14.5,10.5,
2月27日,水,2.2,0.6,11.7,3.7,11.1,3.7,7.6,2.8,12.3,0.6,2.2,1.2,
2月28日,木,0.9,0.3,2.6,2.5,2.9,18.5,11.9,1.9,2.1,5.2,1.5,1.9,
2月29日,金,30.9,16.9,41.6,22.3,50.4,88.3,64.6,60.2,58.1,29.6,35,11.1,
2月合計,,71.1,46.4,152.4,82.4,122.3,201.8,182.7,148.7,149.8,56,90.3,48.7,
3月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,
3月1日,土,30.9,16.9,41.6,22.3,50.4,88.3,64.6,60.2,58.1,29.6,35,11.1,
3月2日,日,30.9,16.9,41.6,22.3,50.4,88.3,64.6,60.2,58.1,29.6,35,11.1,
3月3日,月,39.8,72.4,45.7,45.2,61.6,104,81.9,180.6,58.6,34.9,28.7,20.4,
3月4日,火,138.4,75.6,118.7,145.8,244.4,258,84,112.7,81.8,157.1,35.8,85.8,
3月5日,水,21.9,11.9,55.2,45.4,,121.9,100.3,61.1,49.1,48.8,26.2,19.8,
3月6日,木,31.3,18.5,63.9,40.7,65.9,125.6,101.1,76.9,28.7,66.3,48.5,42,
3月7日,金,115.1,90.8,177.1,144.8,82.4,368.4,335.9,120.1,118.9,62.1,85.6,28.9,
3月8日,土,115.1,90.8,177.1,144.8,82.4,368.4,335.9,120.1,118.9,62.1,85.6,28.9,
3月9日,日,115.1,90.8,177.1,144.8,82.4,368.4,335.9,120.1,118.9,62.1,85.6,28.9,
3月10日,月,45.4,52.8,43.7,29,26.9,322.8,187.8,39.2,50,12.7,24.1,7.7,
3月11日,火,307.6,232.1,291.6,528.7,551.5,767.3,864.5,266,187.1,195.1,148.2,63,
3月12日,水,280.4,167,701.4,430.2,1013.9,430.2,407.4,131.8,281.8,283.3,266,70.1,
3月13日,木,24.5,20.1,63.4,67.6,459.4,299.4,112.1,16,41.4,62.9,36.7,12.3,
3月14日,金,90.4,160.7,220.6,133.6,110.1,756,443.2,435.3,259.1,270.3,234.8,108.3,
3月15日,土,90.4,160.7,220.6,133.6,110.1,756,443.2,435.3,259.1,270.3,234.8,108.3,
3月16日,日,90.4,160.7,220.6,133.6,110.1,756,443.2,435.3,259.1,270.3,234.8,108.3,
3月17日,月,253.4,227.2,283.9,272.5,532.5,244.8,207.4,138,104,124.7,121.9,79.3,
3月18日,火,106.2,48.5,113.9,129.5,211.1,47.1,37.9,61.7,58.7,23.2,55.6,27.4,
3月19日,水,94.8,85.5,116.5,108.7,,224.6,88.6,100.4,80.1,59.3,76.1,36.6,
3月20日,木,94.8,85.5,116.5,108.7,,224.6,88.6,100.4,80.1,59.3,76.1,36.6,
3月21日,金,262.4,192.9,233.5,245.8,142.5,206.2,193.8,171.5,152.5,150.9,94.1,83.7,
3月22日,土,262.4,192.9,233.5,245.8,142.5,206.2,193.8,171.5,152.5,150.9,94.1,83.7,
3月23日,日,262.4,192.9,233.5,245.8,142.5,206.2,193.8,171.5,152.5,150.9,94.1,83.7,
3月24日,月,15.9,10.8,33,23.5,51.5,128.4,67.3,48.2,39.5,89.9,30.3,26,
