1月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　
1月5日,月,0,0,0,0,0,0,0,0,0,0,0,0
1月6日,火,0.3,0,0,0,0,0,0,0,0.3,0,0,0
1月7日,水,0,0,0.3,0,0,0,0,0,0,0,0,0
1月8日,木,0,0,0,0.3,0,0,0,0,0,0,0,0
1月9日,金,0.1,0,0,0.1,0.2,0,0.2,0.1,0.1,0,0,0.1
1月10日,土,0.1,0,0,0.1,0.2,0,0.2,0.1,0.1,0,0,0.1
1月11日,日,0.1,0,0,0.1,0.2,0,0.2,0.1,0.1,0,0,0.1
1月12日,月,0.1,0,0,0.1,0.2,0,0.2,0.1,0.1,0,0,0.1
1月13日,火,0,0,0,0,0,0,0,0,0,0,0,0
1月14日,水,0,0,0,0,0.6,0,0.3,0,0.3,0,0,0
1月15日,木,0,0,0,0,0,0.3,0,0,0,0,0,0
1月16日,金,0.1,0,0,0,0.5,0,0,0,0,0,0,0
1月17日,土,0.1,0,0,0,0.5,0,0,0,0,0,0,0
1月18日,日,0.1,0,0,0,0.5,0,0,0,0,0,0,0
1月19日,月,0,0,0,0,0,0,0,0,0,0,0,0
1月20日,火,0,0,0.3,0,0,0,0.3,0,0.3,0,0,0
1月21日,水,0,0,0,0,0,0,0,0,0,0,0,0
1月22日,木,0,0,0,0,0,0,0,0,0,0,0,0
1月23日,金,0.1,0.2,0,0,0.4,0.3,0.3,0.1,0.1,0.3,0,0.1
1月24日,土,0.1,0.2,0,0,0.4,0.3,0.3,0.1,0.1,0.3,0,0.1
1月25日,日,0.1,0.2,0,0,0.4,0.3,0.3,0.1,0.1,0.3,0,0.1
1月26日,月,0,0,0,0,0,0.3,0,0,0.2,0,0,0
1月27日,火,0.3,0,0,0,0,0,0,0,0,0,0,0
1月28日,水,0,0,0,0,0,0.3,0,0,0,0,0,0
1月29日,木,0,0,0,0,0,0,0,0,0,0,0,0
1月30日,金,0,0,0,0.1,0.1,0.5,0.4,0,0.3,0.7,0,0
1月31日,土,0,0,0,0.1,0.1,0.5,0.4,0,0.3,0.7,0,0
1月合計,,1.5,0.6,0.6,0.8,4.1,2.8,2.9,0.6,2.3,2.3,0,0.6
2月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　
2月1日,日,0,0,0,0.1,0.1,0.5,0.4,0,0.3,0.7,0,0
2月2日,月,0,0.6,0.3,0,0.3,0,0.9,0.6,0,1.9,0,0.3
2月3日,火,0,0,0,0,0,0.3,1.5,0,0.3,0.6,0,0
2月4日,水,0,0,0,0,0,0,0,0,0,0.3,0.3,0
2月5日,木,0.3,0,1.5,0.9,1.8,4.2,1.5,2.2,0.6,0.3,0.6,1.2
2月6日,金,3,0.3,1.9,0.7,3.4,9.1,4.3,4.6,10.2,4,3.5,1.6
2月7日,土,3,0.3,1.9,0.7,3.4,9.1,4.3,4.6,10.2,4,3.5,1.6
2月8日,日,3,0.3,1.9,0.7,3.4,9.1,4.3,4.6,10.2,4,3.5,1.6
2月9日,月,6.5,1.2,1.9,1.2,1.5,1.9,5.9,0.6,3.1,3.1,1.9,0.6
2月10日,火,4.7,1.1,5.8,3.9,7.7,4.3,9.6,9.9,10.5,10.5,5.3,2
2月11日,水,4.7,1.1,5.8,3.9,7.7,4.3,9.6,9.9,10.5,10.5,5.3,2
2月12日,木,19.9,15.6,6.5,32.1,30.9,35.5,36.1,52.2,37.7,31.5,16.4,34.6
