1月,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平,
1月1日,金,0,0,0.3,0,0,-,-,-,-,-,-,-,
1月2日,土,0,0,0,0,0,-,-,-,-,-,-,-,
1月3日,日,0,0,0,0,0,-,-,-,-,-,-,-,
1月4日,月,0,0,0,0,0.3,0,0,0,0,0,0,0,
1月5日,火,0,0,0,0,0,0.3,0,0,0,0,0,0,
1月6日,水,0,0,0.3,0,0,0,0,0,0,0.3,0,0,
1月7日,木,0,0,0,0,0,0,0,0,0,0,0,0,
1月8日,金,0,0,0,0,0,0,0,0,0,0,0,0,
1月9日,土,0,0.3,0,0,0,0,0,0,0,0,0,0,
1月10日,日,0,0,0,0,0,0,0,0,0,0,0,0,
1月11日,月,0.3,0,0,0,0,0,0,0,0,0,0,0,
1月12日,火,0,0,0,0,0,0,0,0,0,0,0,0,
1月13日,水,0,0.3,0,0,0,0,0,0,0.6,0.3,0,0,
1月14日,木,0,0.3,0.3,0,0,0,0,0,0,0,0,0,
1月15日,金,0.3,0,0,0,0,0,0,0,0.1,0,0,0,
1月16日,土,0,0,0,0,0,0,0,0,0.1,0,0,0,
1月17日,日,0,0,0,0,0,0,0,0,0.1,0,0,0,
1月18日,月,0,0,0,0.3,0,0,0.3,0,0,0.3,0,0,
1月19日,火,0,0,0,0,0,0,0,0,0,0,0,0,
1月20日,水,0.3,0,0.3,0,0,0,0.3,0,0.6,0,0,0,
1月21日,木,0,0,0.3,0,0,0,0,0,0,0,0,0,
1月22日,金,0,0,0,0.3,0,0,0,0,0,0,0,0,
1月23日,土,0,0.3,0,0,0,0,0,0,0,0,0,0,
1月24日,日,0,0,0,0,0,0,0,0,0,0,0,0,
1月25日,月,0.3,0,0,0,0,0,0,0.3,0,0,0,0,
1月26日,火,0,0,0,0,0,0,0.3,0,0,0,0,0,
1月27日,水,0,0,0,0,0.3,0.3,0,0,0,0,0,0,
1月28日,木,0,0,0,0,0,0,0,0,0,0.3,0,0,
1月29日,金,0,0.3,0,0.3,0.3,0,0.2,0.1,0.2,0,0,0,
1月30日,土,0,0,0,0,0,0,0.2,0.1,0.2,0,0,0,
1月31日,日,0,0,0,0.3,0.3,0,0.2,0.1,0.2,0,0,0,
