1月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
1月6日,月,0,0,0,0,0.3,0,0,0,0,0,0,0
1月7日,火,0,0,0,0,0,0,0,0,0,0,0,0
1月8日,水,0,0,0,0,0,0,0,0,0,0,0,0
1月9日,木,0,0,0,0,0,0.3,0,0,0,0,0,0
1月10日,金,0,0,0,0,0,0.1,0,0,0,0,0,0
1月11日,土,0,0.3,0,0,0,0.1,0,0,0,0,0,0
1月12日,日,0,0,0,0,0.3,0.1,0,0,0,0,0,0
1月13日,月,0,0,0,0,0,0.1,0,0,0,0,0,0
1月14日,火,0.3,0,0,0,0,0,0,0,0,0,0,0
1月15日,水,0,0,0,0,0,0,0,0,0,0,0,0
1月16日,木,0.3,0,0,0,0.3,0,0,0,0,0,0,0
1月17日,金,0,0,0,0,0,0,0,0,0,0,0,0
1月18日,土,0,0,0,0,0,0,0,0,0,0,0,0
1月19日,日,0,0,0,0,0,0,0,0,0,0,0,0
1月20日,月,0,0,0.3,0,0,0,0,0,0.9,0,0,0
1月21日,火,0,0,0,0,0,0,0,0,0.3,0,0,0
1月22日,水,0,0,0,0,0,0,0,0,0,0,0,0
1月23日,木,0,0,0,0,0.3,0.3,0,0,0,0,0,0
1月24日,金,0,0,0,0.3,0,0,0,0,0,0,0,0
1月25日,土,0,0,0,0.3,0.3,0,0,0,0,0,0,0
1月26日,日,0,0,0,0.3,0,0,0,0,0,0,0,0
1月27日,月,0,0,0,0,0,0,0,0.3,0.3,0,0,0
1月28日,火,0,0,0,0,0,0,0,0,0,0,0,0
1月29日,水,0,0,0,0,0.3,0.6,0,0,0,0,0,0.3
1月30日,木,0.3,0,0.3,0,0,0,0,0,0,0,0,0.3
1月31日,金,0,0,0,0,0,0.2,0,0.2,0,0,0,0
1月合計,,0.9,0.3,0.6,0.9,1.8,1.8,0,0.5,1.5,0,0,0.6
2月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
2月1日,土,0,0,0,0,0.6,0.2,0,0.2,0,0,0,0
2月2日,日,1.5,0,0.6,0.3,2.1,0.2,0,0.2,0,0,0,0
2月3日,月,6.8,4.6,4,4,7.4,0,0,2.8,1.2,2.5,1.2,2.2
2月4日,火,0,0.3,0,0.3,1.5,0.9,0,0,0.3,0,0,0.6
2月5日,水,0,0,0,0.3,0.3,0.9,0.6,0,0,0,0,0
2月6日,木,0,0,0.3,0.3,0,0.6,0,0,0,0,0,0
2月7日,金,0,0,0,0,0,0,0.1,0,0,0,0,0
2月8日,土,0,0,0,0,0,0,0.1,0,0,0,0,0
2月9日,日,0,0,0,0,0,0,0.1,0,0,0,0,0
2月10日,月,0,0.3,0,0,0,0,0,0,0.2,0,0.2,0
2月11日,火,0,0.3,0,0,0,0,0,0,0.2,0,0.2,0
2月12日,水,0.3,0,0,0,0,0.3,0,0,0,0,0,0
2月13日,木,0,0.3,0,0,0.3,0,0,0,0,0,0,0
2月14日,金,0,0,0.3,0,0.3,0,0.2,0.6,0.6,0,0.1,0.1
2月15日,土,0,0,0.9,0.3,0,0,0.2,0.6,0.6,0,0.1,0.1
2月16日,日,0.6,0,0,0,0.3,0,0.2,0.6,0.6,0,0.1,0.1
2月17日,月,1.2,1.2,1.5,3.4,3.4,0,0.9,0,3.1,2.5,0.9,0.3
2月18日,火,0,0,0,0,0.3,0.3,1.2,0,0.3,0.6,0,0
2月19日,水,0,0.3,0,0,0,0.9,1.2,0,0,0.3,0.6,0
2月20日,木,0.9,0.9,0.3,0,0,1.5,0.3,0,0,1.2,0,0
2月21日,金,1.9,0.6,0.6,0.3,0.6,1,0.6,2,0,0.1,0,0.7
2月22日,土,1.2,1.2,1.2,0,0.3,1,0.6,2,0,0.1,0,0.7
2月23日,日,2.2,1.5,1.5,1.2,4.3,1,0.6,2,0,0.1,0,0.7
2月24日,月,12.3,14.2,9,12.3,14.8,4.9,6.5,3.9,2.2,9,0.6,1.2
2月25日,火,17,0.9,2.2,1.5,4.3,15,7.1,5.2,2.8,4.6,0.8,0.9
2月26日,水,18.8,16,12.3,24.1,23.5,20.4,21.3,5.6,35.8,9,5.9,6.8
2月27日,木,5.2,6.2,4.6,12,2.2,9.6,2.2,3.4,0.6,13.6,1.7,4
2月28日,金,12,43.5,26.2,15.7,17.6,10.9,8.5,21.5,9.8,16.4,5.5,2
2月合計,,81.9,92.3,65.5,76,84.1,69.6,52.5,50.6,58.3,60,17.9,20.4
