１月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
1月5日,月,0,0,0,0,0,0,0.3,0,0,0,0,0
1月6日,火,0,0,0,0,0.3,0,0,0,0,0,0,0
1月7日,水,0,0,0,0,0,0,0.3,0,0,0,0,0
1月8日,木,0,0,0,0,0,0,0,0,0,0,0,0
1月9日,金,0.3,0,0.3,0,0,0.2,0.1,0,0,0,0,0
1月10日,土,0,0,0,0,0,0.2,0.1,0,0,0,0,0
1月11日,日,0.3,0.3,0,1.2,0,0.2,0.1,0,0,0,0,0
1月12日,月,0,0,0,0,0,0.2,0.1,0,0,0,0,0
1月13日,火,0,0,0,0,0.6,0,0,0,0,0,0,0
1月14日,水,0,0,0,0,0,0,0,0,0,0,0,0
1月15日,木,0,0.3,0,0,0,0,0,0,0,0,0,0
1月16日,金,0.3,0,0.3,0,0,0,0,0,0,0,0,0
1月17日,土,0,0,0.3,0.3,0,0,0,0,0,0,0,0
1月18日,日,0,0,0,0,0,0,0,0,0,0,0,0
1月19日,月,0,0,0,0,0,0,0,0,0,0,0,0
1月20日,火,0,0,0,0,0,0,0,0,0,0,0,0
1月21日,水,0,0,0,0,0,0,0,0,0,0,0,0
1月22日,木,0,0,0,0,0,0,0,0,0,0,0,0
1月23日,金,0,0,0,0,0,0,0.1,0,0,0,0,0
1月24日,土,0,0,0,0.3,0,0,0.1,0,0,0,0,0
1月25日,日,0,0.3,0,0,0,0,0.1,0,0,0,0,0
1月26日,月,0,0.3,0,0,0,0,0,0,0.3,0,0,0
1月27日,火,0,0,0,0,0,0,0,0,0,0,0,0
1月28日,水,0,0,0,0,0,0,0.3,0,0,0,0,0
1月29日,木,0,0,0,0,0,0,0,0,0.3,0,0,0
1月30日,金,0,0,0,0,0,0,0,0,0,0,0,0
1月31日,土,0,0,0,0,0,0,0,0,0,0,0,0
1月合計,,0.9,1.2,0.9,1.8,0.9,0.8,1.6,0,0.6,0,0,0
2月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
2月1日,日,0,0,0,0,0,0,0,0,0,0,0,0
2月2日,月,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0
2月3日,火,0,0,0,0,0,0,0,0,0,0,0,0
2月4日,水,0,0,0,0,0.3,0,0,0,0.3,0,0,0
2月5日,木,0,0,0,0,0,0,0,0,0,0,0,0
2月6日,金,0,0,0,0,0,0,0.2,0,0,0,0.1,0
2月7日,土,0,0.6,0,0,0.3,0,0.2,0,0,0,0.1,0
2月8日,日,0,0,0.6,0,1.2,0,0.2,0,0,0,0.1,0
2月9日,月,1.5,0.9,2.2,1.5,0.9,0.3,0.6,0.9,0,0,0,0.6
2月10日,火,0.9,0,0.6,0.6,2.8,0,0,0.6,0.2,0.2,0.2,0
2月11日,水,4.3,2.2,0.9,1.2,0,0,0,0.6,0.2,0.2,0.2,0
2月12日,木,7.7,12,11.4,10.2,11.7,1.5,0.6,2.2,2.2,0,6.5,7.4
2月13日,金,3.7,2.2,0.6,1.5,0.6,0.8,0.6,3.4,0.6,0.1,0.8,0.5
2月14日,土,0.6,0.9,0.6,0,1.5,0.8,0.6,3.4,0.6,0.1,0.8,0.5
2月15日,日,1.9,0.3,1.5,0.3,0.6,0.8,0.6,3.4,0.6,0.1,0.8,0.5
2月16日,月,0.6,0.3,0.3,0.9,0.6,0,0.9,1.9,0.6,0.6,0,0.3
2月17日,火,0,0,0,0,0.3,0,0,0,0.9,0,0,0
2月18日,水,0.3,0.3,0,0,0,0,0,0,0.3,0,0,0
2月19日,木,1.9,1.2,0.6,0.9,0.9,2.5,0,3.4,2.2,0.9,0.3,3.1
2月20日,金,2.5,5.6,1.9,2.5,1.9,12,6.6,4.4,1.4,2,3.5,2.8
2月21日,土,20.4,11.4,10.8,9.9,14.2,12,6.6,4.4,1.4,2,3.5,2.8
2月22日,日,0.9,0.3,0.9,0.9,0.9,12,6.6,4.4,1.4,2,3.5,2.8
2月23日,月,105,105.9,69.4,77.2,157.4,19.4,16.7,25,18.8,9.9,15.7,13.3
2月24日,火,172,194.1,140.4,160.5,171.3,32.7,114.8,189.5,144.8,40.7,46.6,49.7
2月25日,水,108.3,138,84.9,114.5,76.5,40.4,48.5,85.5,23.8,27.2,23.8,17.9
2月26日,木,12,13,48.1,28.4,40.1,13.3,2.8,16,12.7,3.4,4.6,13
2月27日,金,89.2,75.6,117,54.3,88.9,115.1,52.2,86.8,57.2,30.8,29.5,8.5
2月28日,土,30.9,43.2,18.8,45.1,18.8,115.1,52.2,86.8,57.2,30.8,29.5,8.5
2月合計,,564.6,608,511.5,510.4,592,379,311.8,522.6,327.4,151,170.1,132.2
3月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
3月1日,日,82.7,33,104.9,85.8,76.2,115.1,52.2,86.8,57.2,30.8,29.5,8.5
3月2日,月,115.1,121.9,121.9,144.1,124.1,155.2,121.9,114.8,46.3,57.1,77.2,9.6
3月3日,火,100.3,65.1,89.5,53.1,125.6,68.5,24.1,29,48.8,2.8,35.8,6.2
3月4日,水,338.3,313.3,366,260.5,347.5,471.6,882.4,535.2,176.9,396.6,170.4,63.3
3月5日,木,161.4,247.2,101,欠測,29.3,325.3,267.9,453.7,198.5,298.8,74.4,28.7
3月6日,金,116.4,108,102.2,欠測,124.4,30.9,24.7,27.6,25.9,10.9,12.3,13.5
3月7日,土,6.5,9.3,3.7,欠測,4.6,30.9,24.7,27.6,25.9,10.9,12.3,13.5
3月8日,日,112,98.1,40.4,欠測,81.2,30.9,24.7,27.6,25.9,10.9,12.3,13.5
