１月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日,曜,千,葛,杉,北,大,青,八,多,町,立,府,小
付,日,代,飾,並,,田,梅,王,摩,田,川,中,平
,,田,,,,,,子,,,,,
1月4日,水,0,0,0,0,0,0.6,0,0,0,0,0,0
1月5日,木,0,0,0,0,0,0,0,0,0,0,0,0
1月6日,金,0,0,0,0,0,0,0,0,0,0,0,0
1月7日,土,0,0,0,0,0,0,0,0,0,0,0,0
1月8日,日,0,0,0,0,0,0,0,0,0,0,0,0
1月9日,月,0,0,0.3,0,0,0,0,0,0,0,0,0
1月10日,火,0,0,0,0,0,0,0,0,0,0,0,0
1月11日,水,0,0,0,0,0,0,0,0,0,0,0,0
1月12日,木,0,0,0,0,0.3,0,0,0,0,0,0,0
1月13日,金,0,0,0,0,0,0,0,0,0,0,0,0
1月14日,土,0,0,0,0,0,0,0,0,0,0,0,0
1月15日,日,0,0,0,0,0,0,0,0,0,0,0,0
1月16日,月,0,0,0,0,0,0,0,0,0,0,0,0
1月17日,火,0,0,0,0,0,0,0,0,0,0,0,0
1月18日,水,0,0,0,0,0,0,0,0,0,0,0,0
1月19日,木,0,0.3,0.3,0,0,0,0,0,0,0,0,0
1月20日,金,0.3,0,0,0,0,0,0,0,0,0,0,0
1月21日,土,0,0,0,0,0,0,0,0,0,0,0,0
1月22日,日,0,0,0,0,0.6,0,0,0,0,0,0,0
1月23日,月,0,0.3,0,0,0.3,0,0,0,0,0,0,0
1月24日,火,0,0,0,0,0,0.3,0,0,0,0,0,0
1月25日,水,0,0,0,0,0,0,0,0,0,0,0,0
1月26日,木,1.2,0,0,0.3,0,0,0.6,0,0,0,0,0
1月27日,金,0,0,0,0,0,0.1,0,0,0,0,0,0
1月28日,土,0,0,0,0,0,0.1,0,0,0,0,0,0
1月29日,日,0,0,0,0,0,0.1,0,0,0,0,0,0
1月30日,月,1.2,0,0,0,0.3,0.3,0,0.3,0,0,0,0.3
1月31日,火,0,0,0,0,0.3,0,0.3,0,0,0,0,0
1月合計,,2.7,0.6,0.6,0.3,1.8,1.5,0.9,0.3,0,0,0,0.3
,,,,,,,,,,,,,
2月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日,曜,千,葛,杉,北,大,青,八,多,町,立,府,小
付,日,代,飾,並,,田,梅,王,摩,田,川,中,平
,,田,,,,,,子,,,,,
2月1日,水,0,0,0.3,0.3,0,0,0,0,0,0,0,0
2月2日,木,0,0,0,0.6,0,0.3,0,0,0.6,0,0,0.3
2月3日,金,0,0,0,0.3,0.3,0.1,0.2,0.1,0.1,0.1,0,0
2月4日,土,0,0,0.3,0.3,0.3,0.1,0.2,0.1,0.1,0.1,0,0
2月5日,日,0,0,0,0,0,0.1,0.2,0.1,0.1,0.1,0,0
2月6日,月,0.3,0,0,0,0.6,0.3,0,0.6,0,1.5,1.2,0.2
2月7日,火,0.6,0.9,0.6,0,0.6,1.5,0.3,0,0,0.3,0.3,0
2月8日,水,0.3,0,0.3,0,0,0,0.2,0.3,0,0.6,0,0.2
2月9日,木,0,0,0,0,0,0,0.3,0,0,0,0,0
2月10日,金,0,0.6,0,0.3,0.6,0.4,0.3,0.1,0.1,0,0.4,0.3
2月11日,土,0.6,0,1.2,1.5,1.5,1.4,1,0.3,0.3,0.1,1.3,1
2月12日,日,0,0.6,1.2,1.2,1.2,1.2,0.9,0.2,0.2,0.1,1.1,0.9
2月13日,月,0.6,0.3,0.3,0.3,0,4,0.9,0.3,0.6,0.9,0.3,0
2月14日,火,0.9,0.6,0.6,0.3,1.2,1.5,0.9,0.6,0,1.5,0,0.9
2月15日,水,0.3,0,0.3,0,0.3,2.2,1.2,2.5,0.9,1.2,0.3,0.2
