日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
2014/1/10,金,0,0,0,0,0,0.1,0,0,0,0,0,0
2014/1/11,土,0,0.3,0,0,0,0.1,0,0,0,0,0,0
2014/1/12,日,0,0,0,0,0.3,0.1,0,0,0,0,0,0
2014/1/13,月,0,0,0,0,0,0.1,0,0,0,0,0,0
2014/1/14,火,0.3,0,0,0,0,0,0,0,0,0,0,0
2014/1/15,水,0,0,0,0,0,0,0,0,0,0,0,0
2014/1/16,木,0.3,0,0,0,0.3,0,0,0,0,0,0,0
2014/1/17,金,0,0,0,0,0,0,0,0,0,0,0,0
2014/1/18,土,0,0,0,0,0,0,0,0,0,0,0,0
2014/1/19,日,0,0,0,0,0,0,0,0,0,0,0,0
2014/1/20,月,0,0,0.3,0,0,0,0,0,0.9,0,0,0
2014/1/21,火,0,0,0,0,0,0,0,0,0.3,0,0,0
2014/1/22,水,0,0,0,0,0,0,0,0,0,0,0,0
2014/1/23,木,0,0,0,0,0.3,0.3,0,0,0,0,0,0
2014/1/24,金,0,0,0,0.3,0,0,0,0,0,0,0,0
2014/1/25,土,0,0,0,0.3,0.3,0,0,0,0,0,0,0
2014/1/26,日,0,0,0,0.3,0,0,0,0,0,0,0,0
2014/1/27,月,0,0,0,0,0,0,0,0.3,0.3,0,0,0
2014/1/28,火,0,0,0,0,0,0,0,0,0,0,0,0
2014/1/29,水,0,0,0,0,0.3,0.6,0,0,0,0,0,0.3
2014/1/30,木,0.3,0,0.3,0,0,0,0,0,0,0,0,0.3
2014/1/31,金,0,0,0,0,0,0.2,0,0.2,0,0,0,0
2014/2/1,土,0,0,0,0,0.6,0.2,0,0.2,0,0,0,0
2014/2/2,日,1.5,0,0.6,0.3,2.1,0.2,0,0.2,0,0,0,0
2014/2/3,月,6.8,4.6,4,4,7.4,0,0,2.8,1.2,2.5,1.2,2.2
2014/2/4,火,0,0.3,0,0.3,1.5,0.9,0,0,0.3,0,0,0.6
2014/2/5,水,0,0,0,0.3,0.3,0.9,0.6,0,0,0,0,0
2014/2/6,木,0,0,0.3,0.3,0,0.6,0,0,0,0,0,0
2014/2/7,金,0,0,0,0,0,0,0.1,0,0,0,0,0
2014/2/8,土,0,0,0,0,0,0,0.1,0,0,0,0,0
